FEN,Evaluation,eval,
2r1r1k1/pp3b1p/5Ppb/8/2pPqN1P/2P1BR2/PP1Q4/K5R1 w - - 3 29,436,1.744,
2r1r1k1/pp3b1p/5Ppb/8/2pPqN1P/2P1BR2/PP3Q2/K5R1 b - - 4 29,355,1.42,
4r1k1/pp3b1p/2r2Ppb/8/2pPqN1P/2P1BR2/PP3Q2/K5R1 w - - 5 30,595,2.38,
4r1k1/pp3b1p/2r2PNb/8/2pPq2P/2P1BR2/PP3Q2/K5R1 b - - 0 30,564,2.256,
4r1k1/pp3b2/2r2Ppb/8/2pPq2P/2P1BR2/PP3Q2/K5R1 w - - 0 31,657,2.628,
4r1k1/pp3b2/2r2PpB/8/2pPq2P/2P2R2/PP3Q2/K5R1 b - - 0 31,598,2.392,
4r1k1/pp3b2/4rPpB/8/2pPq2P/2P2R2/PP3Q2/K5R1 w - - 1 32,756,3.024,
4r1k1/pp3b2/4rPpB/8/2pPq2P/2P1R3/PP3Q2/K5R1 b - - 2 32,412,1.648,
4r1k1/pp3b2/4rPpB/3q4/2pP3P/2P1R3/PP3Q2/K5R1 w - - 3 33,447,1.788,
4r1k1/pp3b2/4RPpB/3q4/2pP3P/2P5/PP3Q2/K5R1 b - - 0 33,352,1.408,
6k1/pp3b2/4rPpB/3q4/2pP3P/2P5/PP3Q2/K5R1 w - - 0 34,432,1.728,
6k1/pp3b2/4rPpB/3q4/2pP3P/P1P5/1P3Q2/K5R1 b - - 0 34,381,1.524,
6k1/p4b2/4rPpB/1p1q4/2pP3P/P1P5/1P3Q2/K5R1 w - - 0 35,476,1.904,
6k1/p4b2/4rPpB/1p1q4/2pP1Q1P/P1P5/1P6/K5R1 b - - 1 35,236,0.944,
6k1/p4b2/4rPpB/1p5q/2pP1Q1P/P1P5/1P6/K5R1 w - - 2 36,484,1.936,
6k1/p4b2/4rPp1/1p4Bq/2pP1Q1P/P1P5/1P6/K5R1 b - - 3 36,476,1.904,
6k1/p4b2/4rPp1/1p4B1/2pP1Q1P/P1P5/1P2q3/K5R1 w - - 4 37,644,2.576,
6k1/p4b2/4rPp1/1p1P2B1/2p2Q1P/P1P5/1P2q3/K5R1 b - - 0 37,655,2.62,
6k1/p4b2/5Pp1/1p1Pr1B1/2p2Q1P/P1P5/1P2q3/K5R1 w - - 1 38,738,2.952,
6k1/p4b2/5Pp1/1p1Pr1BP/2p2Q2/P1P5/1P2q3/K5R1 b - - 0 38,752,3.008,
6k1/p4b2/5Pp1/1p1r2BP/2p2Q2/P1P5/1P2q3/K5R1 w - - 0 39,1000,4,
6k1/p4b2/5PP1/1p1r2B1/2p2Q2/P1P5/1P2q3/K5R1 b - - 0 39,1455,5.82,
6k1/p4b2/5PP1/1p4B1/2p2Q2/P1P5/1P2q3/K2r2R1 w - - 1 40,1021,4.084,
6k1/p4b2/5PP1/1p4B1/2p2Q2/P1P5/KP2q3/3r2R1 b - - 2 40,1230,4.92,
6k1/p4b2/5PP1/1p4B1/2p2Q2/P1P5/KP2q3/6r1 w - - 0 41,1142,4.568,
1Q4k1/p4b2/5PP1/1p4B1/2p5/P1P5/KP2q3/6r1 b - - 1 41,1851,7.404,
r1bqkb1r/pp3ppp/2np1n2/4p3/3NP3/2N1B3/PPP2PPP/R2QKB1R w KQkq - 0 7,33,0.132,
r1bqkb1r/pp3ppp/2np1n2/4p3/4P3/2N1BN2/PPP2PPP/R2QKB1R b KQkq - 1 7,-24,-0.096,
r1bqk2r/pp2bppp/2np1n2/4p3/4P3/2N1BN2/PPP2PPP/R2QKB1R w KQkq - 2 8,20,0.08,
r1bqk2r/pp2bppp/2np1n2/4p3/4P3/2N1BN1P/PPP2PP1/R2QKB1R b KQkq - 0 8,-78,-0.312,
r1bq1rk1/pp2bppp/2np1n2/4p3/4P3/2N1BN1P/PPP2PP1/R2QKB1R w KQ - 1 9,14,0.056,
r1bq1rk1/pp2bppp/2np1n2/4p3/2B1P3/2N1BN1P/PPP2PP1/R2QK2R b KQ - 2 9,-58,-0.232,
r2q1rk1/pp2bppp/2npbn2/4p3/2B1P3/2N1BN1P/PPP2PP1/R2QK2R w KQ - 3 10,-4,-0.016,
r2q1rk1/pp2bppp/2npbn2/4p3/4P3/1BN1BN1P/PPP2PP1/R2QK2R b KQ - 4 10,-44,-0.176,
r2q1rk1/p3bppp/2npbn2/1p2p3/4P3/1BN1BN1P/PPP2PP1/R2QK2R w KQ - 0 11,18,0.072,
r2q1rk1/p3bppp/2npbn2/1p2p3/4P3/1BNQBN1P/PPP2PP1/R3K2R b KQ - 1 11,-41,-0.164,
r2q1rk1/p3bppp/3pbn2/1p2p3/1n2P3/1BNQBN1P/PPP2PP1/R3K2R w KQ - 2 12,74,0.296,
r2q1rk1/p3bppp/3pbn2/1p2p3/1n2P3/1BN1BN1P/PPP1QPP1/R3K2R b KQ - 3 12,13,0.052,
r4rk1/p2qbppp/3pbn2/1p2p3/1n2P3/1BN1BN1P/PPP1QPP1/R3K2R w KQ - 4 13,91,0.364,
r4rk1/p2qbppp/3pbn2/1p2p3/1n2P3/1BN1BN1P/PPP1QPP1/R4RK1 b - - 5 13,31,0.124,
r1r3k1/p2qbppp/3pbn2/1p2p3/1n2P3/1BN1BN1P/PPP1QPP1/R4RK1 w - - 6 14,146,0.584,
r1r3k1/p2qbppp/3pbn2/1p2p3/1n2P3/1BN1BN1P/PPP1QPP1/R2R2K1 b - - 7 14,94,0.376,
r1r3k1/pq2bppp/3pbn2/1p2p3/1n2P3/1BN1BN1P/PPP1QPP1/R2R2K1 w - - 8 15,160,0.64,
r1r3k1/pq2bppp/3pbn2/1p2p1B1/1n2P3/1BN2N1P/PPP1QPP1/R2R2K1 b - - 9 15,120,0.48,
r5k1/pq2bppp/2rpbn2/1p2p1B1/1n2P3/1BN2N1P/PPP1QPP1/R2R2K1 w - - 10 16,184,0.736,
r5k1/pq2bppp/2rpBn2/1p2p1B1/1n2P3/2N2N1P/PPP1QPP1/R2R2K1 b - - 0 16,100,0.4,
r5k1/pq2b1pp/2rppn2/1p2p1B1/1n2P3/2N2N1P/PPP1QPP1/R2R2K1 w - - 0 17,141,0.564,
r5k1/pq2b1pp/2rppn2/1p2p1B1/1n2P3/P1N2N1P/1PP1QPP1/R2R2K1 b - - 0 17,29,0.116,
r5k1/pq2b1pp/n1rppn2/1p2p1B1/4P3/P1N2N1P/1PP1QPP1/R2R2K1 w - - 1 18,79,0.316,
r5k1/pq2b1pp/n1rppn2/1N2p1B1/4P3/P4N1P/1PP1QPP1/R2R2K1 b - - 0 18,40,0.16,
3r2k1/pq2b1pp/n1rppn2/1N2p1B1/4P3/P4N1P/1PP1QPP1/R2R2K1 w - - 1 19,199,0.796,
3r2k1/pq2b1pp/n1rppn2/1N2p1B1/4P3/P4N1P/1PP1QPP1/1R1R2K1 b - - 2 19,73,0.292,
3r2k1/pq2b1pp/2rppn2/1Nn1p1B1/4P3/P4N1P/1PP1QPP1/1R1R2K1 w - - 3 20,119,0.476,
3r2k1/pq2b1pp/2rppn2/2n1p1B1/4P3/P1N2N1P/1PP1QPP1/1R1R2K1 b - - 4 20,73,0.292,
2r3k1/pq2b1pp/2rppn2/2n1p1B1/4P3/P1N2N1P/1PP1QPP1/1R1R2K1 w - - 5 21,126,0.504,
2r3k1/pq2b1pp/2rppn2/2n1p1B1/4P3/P1N4P/1PP1QPP1/1R1RN1K1 b - - 6 21,41,0.164,
2r3k1/pq2b1pp/1r1ppn2/2n1p1B1/4P3/P1N4P/1PP1QPP1/1R1RN1K1 w - - 7 22,212,0.848,
2r3k1/pq2b1pp/1r1ppB2/2n1p3/4P3/P1N4P/1PP1QPP1/1R1RN1K1 b - - 0 22,160,0.64,
2r3k1/pq4pp/1r1ppb2/2n1p3/4P3/P1N4P/1PP1QPP1/1R1RN1K1 w - - 0 23,210,0.84,
2r3k1/pq4pp/1r1ppb2/2n1p3/1P2P3/P1N4P/2P1QPP1/1R1RN1K1 b - - 0 23,200,0.8,
2r3k1/pq1n2pp/1r1ppb2/4p3/1P2P3/P1N4P/2P1QPP1/1R1RN1K1 w - - 1 24,207,0.828,
2r3k1/pq1n2pp/1r1ppb2/4p3/1P2P3/PRN4P/2P1QPP1/3RN1K1 b - - 2 24,134,0.536,
2r3k1/pq1n2pp/2rppb2/4p3/1P2P3/PRN4P/2P1QPP1/3RN1K1 w - - 3 25,130,0.52,
2r3k1/pq1n2pp/2rppb2/4p3/NP2P3/PR5P/2P1QPP1/3RN1K1 b - - 4 25,128,0.512,
2r3k1/pq1nb1pp/2rpp3/4p3/NP2P3/PR5P/2P1QPP1/3RN1K1 w - - 5 26,121,0.484,
2r3k1/pq1nb1pp/2rpp3/4p3/1P2P3/PR5P/1NP1QPP1/3RN1K1 b - - 6 26,87,0.348,
2r3k1/pq2b1pp/1nrpp3/4p3/1P2P3/PR5P/1NP1QPP1/3RN1K1 w - - 7 27,179,0.716,
2r3k1/pq2b1pp/1nrpp3/4p3/1P2P1Q1/PR5P/1NP2PP1/3RN1K1 b - - 8 27,156,0.624,
2r3k1/pq2b1pp/1nr1p3/3pp3/1P2P1Q1/PR5P/1NP2PP1/3RN1K1 w - - 0 28,182,0.728,
2r3k1/pq2b1pp/1nr1p3/3pp3/1P2P1Q1/PR1N3P/2P2PP1/3RN1K1 b - - 1 28,95,0.38,
2r3k1/pq2b1pp/2r1p3/3pp3/1Pn1P1Q1/PR1N3P/2P2PP1/3RN1K1 w - - 2 29,216,0.864,
2r3k1/pq2b1pp/2r1p3/3pp3/1Pn1P1Q1/PR1N1N1P/2P2PP1/3R2K1 b - - 3 29,201,0.804,
2r3k1/pq4pp/2r1pb2/3pp3/1Pn1P1Q1/PR1N1N1P/2P2PP1/3R2K1 w - - 4 30,187,0.748,
2r3k1/pq4pp/2r1pb2/2Npp3/1Pn1P1Q1/PR3N1P/2P2PP1/3R2K1 b - - 5 30,153,0.612,
2r3k1/p4qpp/2r1pb2/2Npp3/1Pn1P1Q1/PR3N1P/2P2PP1/3R2K1 w - - 6 31,224,0.896,
2r3k1/p4qpp/2r1pb2/2Npp1N1/1Pn1P1Q1/PR5P/2P2PP1/3R2K1 b - - 7 31,181,0.724,
2r3k1/p4qp1/2r1pb2/2Npp1Np/1Pn1P1Q1/PR5P/2P2PP1/3R2K1 w - - 0 32,203,0.812,
2r3k1/p4qp1/2r1pb2/2Npp1Np/1Pn1P3/PR4QP/2P2PP1/3R2K1 b - - 1 32,170,0.68,
2r3k1/p3q1p1/2r1pb2/2Npp1Np/1Pn1P3/PR4QP/2P2PP1/3R2K1 w - - 2 33,192,0.768,
2r3k1/p3q1p1/2r1pb2/2Npp1Np/1Pn1P2P/PR4Q1/2P2PP1/3R2K1 b - - 0 33,153,0.612,
3r2k1/p3q1p1/2r1pb2/2Npp1Np/1Pn1P2P/PR4Q1/2P2PP1/3R2K1 w - - 1 34,284,1.136,
3r2k1/p3q1p1/2r1pb2/2Npp1Np/1Pn1P2P/P5Q1/2P2PP1/1R1R2K1 b - - 2 34,177,0.708,
3r2k1/p3q1p1/3rpb2/2Npp1Np/1Pn1P2P/P5Q1/2P2PP1/1R1R2K1 w - - 3 35,182,0.728,
3r2k1/p3q1p1/3rpb2/2Npp1Np/1Pn1P2P/P6Q/2P2PP1/1R1R2K1 b - - 4 35,168,0.672,
3r2k1/p3q1p1/3rp3/2Npp1bp/1Pn1P2P/P6Q/2P2PP1/1R1R2K1 w - - 0 36,205,0.82,
3r2k1/p3q1p1/3rp3/2Npp1Pp/1Pn1P3/P6Q/2P2PP1/1R1R2K1 b - - 0 36,198,0.792,
3r2k1/p4qp1/3rp3/2Npp1Pp/1Pn1P3/P6Q/2P2PP1/1R1R2K1 w - - 1 37,224,0.896,
3r2k1/p4qp1/3rp1P1/2Npp2p/1Pn1P3/P6Q/2P2PP1/1R1R2K1 b - - 0 37,227,0.908,
3r2k1/p5p1/3rp1q1/2Npp2p/1Pn1P3/P6Q/2P2PP1/1R1R2K1 w - - 0 38,269,1.076,
3r2k1/pN4p1/3rp1q1/3pp2p/1Pn1P3/P6Q/2P2PP1/1R1R2K1 b - - 1 38,220,0.88,
3r2k1/pN4p1/3rp3/3pp2p/1Pn1q3/P6Q/2P2PP1/1R1R2K1 w - - 0 39,302,1.208,
3N2k1/p5p1/3rp3/3pp2p/1Pn1q3/P6Q/2P2PP1/1R1R2K1 b - - 0 39,236,0.944,
3r2k1/p5p1/4p3/3pp2p/1Pn1q3/P6Q/2P2PP1/1R1R2K1 w - - 0 40,289,1.156,
3r2k1/p5p1/4Q3/3pp2p/1Pn1q3/P7/2P2PP1/1R1R2K1 b - - 0 40,224,0.896,
3r4/p5pk/4Q3/3pp2p/1Pn1q3/P7/2P2PP1/1R1R2K1 w - - 1 41,308,1.232,
3r4/p4Qpk/8/3pp2p/1Pn1q3/P7/2P2PP1/1R1R2K1 b - - 2 41,240,0.96,
8/p4Qpk/3r4/3pp2p/1Pn1q3/P7/2P2PP1/1R1R2K1 w - - 3 42,340,1.36,
8/p4Qpk/3r4/3pp2p/1Pn1q3/PR6/2P2PP1/3R2K1 b - - 4 42,261,1.044,
8/p4Qpk/6r1/3pp2p/1Pn1q3/PR6/2P2PP1/3R2K1 w - - 5 43,319,1.276,
8/p5pk/6r1/3pp2p/1Pn1q3/PR3Q2/2P2PP1/3R2K1 b - - 6 43,279,1.116,
8/p5pk/6r1/3pp2p/1Pn5/PR3Q2/2q2PP1/3R2K1 w - - 0 44,793,3.172,
8/p5pk/6r1/3pp2p/1Pn5/P1R2Q2/2q2PP1/3R2K1 b - - 1 44,789,3.156,
8/p5pk/6r1/3pp2p/1Pn5/P1R2Q2/q4PP1/3R2K1 w - - 2 45,905,3.62,
8/p5pk/6r1/3pp2Q/1Pn5/P1R5/q4PP1/3R2K1 b - - 0 45,1149,4.596,
8/p5pk/7r/3pp2Q/1Pn5/P1R5/q4PP1/3R2K1 w - - 1 46,948,3.792,
8/p5pk/7r/3ppQ2/1Pn5/P1R5/q4PP1/3R2K1 b - - 2 46,1185,4.74,
6k1/p5p1/7r/3ppQ2/1Pn5/P1R5/q4PP1/3R2K1 w - - 3 47,914,3.656,
6k1/p5p1/7r/3ppQ2/1Pn5/P6R/q4PP1/3R2K1 b - - 4 47,746,2.984,
6k1/p5p1/8/3ppQ2/1Pn5/P6r/q4PP1/3R2K1 w - - 0 48,826,3.304,
6k1/p5p1/8/3pp3/1Pn5/P6Q/q4PP1/3R2K1 b - - 0 48,786,3.144,
6k1/p5p1/1n6/3pp3/1P6/P6Q/q4PP1/3R2K1 w - - 1 49,1167,4.668,
6k1/p5p1/1n2Q3/3pp3/1P6/P7/q4PP1/3R2K1 b - - 2 49,1141,4.564,
7k/p5p1/1n2Q3/3pp3/1P6/P7/q4PP1/3R2K1 w - - 3 50,1170,4.68,
7k/p5p1/1n6/3pQ3/1P6/P7/q4PP1/3R2K1 b - - 0 50,1169,4.676,
7k/p5p1/1n6/3pQ3/1P6/q7/5PP1/3R2K1 w - - 0 51,1172,4.688,
4Q2k/p5p1/1n6/3p4/1P6/q7/5PP1/3R2K1 b - - 1 51,1042,4.168,
4Q3/p5pk/1n6/3p4/1P6/q7/5PP1/3R2K1 w - - 2 52,1365,5.46,
8/p5pk/1n6/3p3Q/1P6/q7/5PP1/3R2K1 b - - 3 52,5892,23.568,
6k1/p5p1/1n6/3p3Q/1P6/q7/5PP1/3R2K1 w - - 4 53,1371,5.484,
6k1/p5p1/1n6/3p3Q/1P6/q7/5PP1/4R1K1 b - - 5 53,5536,22.144,
r1bq1rk1/1p2ppbp/p1np1np1/6B1/P3P3/1NN5/1PP1BPPP/R2Q1RK1 b - - 0 10,-49,-0.196,
r2q1rk1/1p2ppbp/p1npbnp1/6B1/P3P3/1NN5/1PP1BPPP/R2Q1RK1 w - - 1 11,10,0.04,
r2q1rk1/1p2ppbp/p1npbnp1/6B1/P3P3/1NN5/1PP1BPPP/R2Q1R1K b - - 2 11,-62,-0.248,
r2q1rk1/1p2ppbp/p2pbnp1/n5B1/P3P3/1NN5/1PP1BPPP/R2Q1R1K w - - 3 12,26,0.104,
r2q1rk1/1p2ppbp/p2pbnp1/N5B1/P3P3/2N5/1PP1BPPP/R2Q1R1K b - - 0 12,-35,-0.14,
r4rk1/1p2ppbp/p2pbnp1/q5B1/P3P3/2N5/1PP1BPPP/R2Q1R1K w - - 0 13,9,0.036,
r4rk1/1p2ppbp/p2pbnp1/q5B1/P3P3/2N5/1PPQBPPP/R4R1K b - - 1 13,-87,-0.348,
r2r2k1/1p2ppbp/p2pbnp1/q5B1/P3P3/2N5/1PPQBPPP/R4R1K w - - 2 14,-12,-0.048,
r2r2k1/1p2ppbp/p2pbnp1/q5B1/P3P3/2N5/1PPQBPPP/R2R3K b - - 3 14,-57,-0.228,
r2r1k2/1p2ppbp/p2pbnp1/q5B1/P3P3/2N5/1PPQBPPP/R2R3K w - - 4 15,0,0,
r2r1k2/1p2ppbp/p2pbnp1/q5B1/P3PP2/2N5/1PPQB1PP/R2R3K b - - 0 15,-60,-0.24,
2rr1k2/1p2ppbp/p2pbnp1/q5B1/P3PP2/2N5/1PPQB1PP/R2R3K w - - 1 16,0,0,
2rr1k2/1p2ppbp/p2pbnp1/q5B1/P3PP2/2N2B2/1PPQ2PP/R2R3K b - - 2 16,-88,-0.352,
2r2k2/1p1rppbp/p2pbnp1/q5B1/P3PP2/2N2B2/1PPQ2PP/R2R3K w - - 3 17,-7,-0.028,
2r2k2/1p1rppbp/p2pbnp1/q7/P3PP1B/2N2B2/1PPQ2PP/R2R3K b - - 4 17,-42,-0.168,
2r2k2/1pr1ppbp/p2pbnp1/q7/P3PP1B/2N2B2/1PPQ2PP/R2R3K w - - 5 18,-12,-0.048,
2r2k2/1pr1ppbp/p2pbnp1/q7/P3PP1B/2N2B2/1PP1Q1PP/R2R3K b - - 6 18,-36,-0.144,
2r2k2/1pr1ppbp/p2pbnp1/8/Pq2PP1B/2N2B2/1PP1Q1PP/R2R3K w - - 7 19,12,0.048,
2r2k2/1pr1ppbp/p2pbnp1/8/Pq2PP2/2N2B2/1PP1Q1PP/R2RB2K b - - 8 19,-36,-0.144,
2r2k2/1pr1ppbp/p2pbnp1/8/P1q1PP2/2N2B2/1PP1Q1PP/R2RB2K w - - 9 20,0,0,
2r2k2/1pr1ppbp/p2pbnp1/8/P1q1PP2/2N2B2/1PP2QPP/R2RB2K b - - 10 20,-105,-0.42,
2r2k2/1pr1ppbp/p2pb1p1/8/P1q1PPn1/2N2B2/1PP2QPP/R2RB2K w - - 11 21,-36,-0.144,
2r2k2/1pr1ppbp/p2pb1p1/8/P1q1PPB1/2N5/1PP2QPP/R2RB2K b - - 0 21,-154,-0.616,
2r2k2/1pr1ppbp/p2p2p1/8/P1q1PPb1/2N5/1PP2QPP/R2RB2K w - - 0 22,-107,-0.428,
2r2k2/1pr1ppbp/p2p2p1/8/P1q1PPb1/2NR4/1PP2QPP/R3B2K b - - 1 22,-174,-0.696,
2r2k2/1pr1ppbp/p2p2p1/2q5/P3PPb1/2NR4/1PP2QPP/R3B2K w - - 2 23,-73,-0.292,
2r2k2/1pr1ppbp/p2p2p1/2q5/P3PPb1/2NR2Q1/1PP3PP/R3B2K b - - 3 23,-108,-0.432,
2r2k2/1pr1ppbp/p2pb1p1/2q5/P3PP2/2NR2Q1/1PP3PP/R3B2K w - - 4 24,-104,-0.416,
2r2k2/1pr1ppbp/p2pb1p1/P1q5/4PP2/2NR2Q1/1PP3PP/R3B2K b - - 0 24,-224,-0.896,
2r2k2/1pr1ppbp/p2pb1p1/P6q/4PP2/2NR2Q1/1PP3PP/R3B2K w - - 1 25,-102,-0.408,
2r2k2/1pr1ppbp/p2pb1p1/P6q/4PP2/2NR2Q1/1PPB2PP/R6K b - - 2 25,-133,-0.532,
2r2k2/1p2ppbp/p2pb1p1/P1r4q/4PP2/2NR2Q1/1PPB2PP/R6K w - - 3 26,-116,-0.464,
2r2k2/1p2ppbp/p2pb1p1/P1r4q/4PP2/2NR4/1PPB1QPP/R6K b - - 4 26,-151,-0.604,
2r2k2/1p2ppbp/p2pb1p1/r6q/4PP2/2NR4/1PPB1QPP/R6K w - - 0 27,-100,-0.4,
2r2k2/1p2ppbp/p2pb1p1/r6q/4PP2/2NR4/1PPB1QPP/4R2K b - - 1 27,-125,-0.5,
2r2k2/1p2ppbp/p2pb1p1/r1q5/4PP2/2NR4/1PPB1QPP/4R2K w - - 2 28,-109,-0.436,
2r2k2/1p2ppbp/p2pb1p1/r1q5/4PP1Q/2NR4/1PPB2PP/4R2K b - - 3 28,-131,-0.524,
2r2k2/1p2ppbp/p2pb1p1/r6q/4PP1Q/2NR4/1PPB2PP/4R2K w - - 4 29,-143,-0.572,
r1bq1rk1/4bppp/p1np1n2/1pp1p3/3PP3/2P2N1P/PPB2PP1/RNBQR1K1 w - - 1 12,114,0.456,
r1bq1rk1/4bppp/p1np1n2/1ppPp3/4P3/2P2N1P/PPB2PP1/RNBQR1K1 b - - 0 12,66,0.264,
r1bq1rk1/n3bppp/p2p1n2/1ppPp3/4P3/2P2N1P/PPB2PP1/RNBQR1K1 w - - 1 13,123,0.492,
r1bq1rk1/n3bppp/p2p1n2/1ppPp3/4P3/2P2N1P/PPBN1PP1/R1BQR1K1 b - - 2 13,48,0.192,
r1bq1rk1/n3bppp/p2p1n2/1p1Pp3/2p1P3/2P2N1P/PPBN1PP1/R1BQR1K1 w - - 0 14,165,0.66,
r1bq1rk1/n3bppp/p2p1n2/1p1Pp3/2p1P3/2P2N1P/PPB2PP1/R1BQRNK1 b - - 1 14,64,0.256,
r1bq1rk1/n3bppp/3p1n2/pp1Pp3/2p1P3/2P2N1P/PPB2PP1/R1BQRNK1 w - - 0 15,146,0.584,
r1bq1rk1/n3bppp/3p1n2/pp1Pp3/2p1P3/2P1NN1P/PPB2PP1/R1BQR1K1 b - - 1 15,68,0.272,
r1b2rk1/n1q1bppp/3p1n2/pp1Pp3/2p1P3/2P1NN1P/PPB2PP1/R1BQR1K1 w - - 2 16,130,0.52,
r1b2rk1/n1q1bppp/3p1n2/pp1Pp3/2p1P3/2P1NN1P/PPB1QPP1/R1B1R1K1 b - - 3 16,0,0,
r1b2rk1/n1q1bppp/3p4/pp1Pp2n/2p1P3/2P1NN1P/PPB1QPP1/R1B1R1K1 w - - 4 17,222,0.888,
r1b2rk1/n1q1bppp/3p4/pp1Pp2n/P1p1P3/2P1NN1P/1PB1QPP1/R1B1R1K1 b - - 0 17,135,0.54,
r1b2rk1/n1q1bppp/3p4/pp1Pp3/P1p1Pn2/2P1NN1P/1PB1QPP1/R1B1R1K1 w - - 1 18,224,0.896,
r1b2rk1/n1q1bppp/3p4/pp1Pp3/P1p1Pn2/2P1NN1P/1PB2PP1/R1B1RQK1 b - - 2 18,188,0.752,
r4rk1/n1qbbppp/3p4/pp1Pp3/P1p1Pn2/2P1NN1P/1PB2PP1/R1B1RQK1 w - - 3 19,172,0.688,
r4rk1/n1qbbppp/3p4/pp1PpN2/P1p1Pn2/2P2N1P/1PB2PP1/R1B1RQK1 b - - 4 19,76,0.304,
4rrk1/n1qbbppp/3p4/pp1PpN2/P1p1Pn2/2P2N1P/1PB2PP1/R1B1RQK1 w - - 5 20,293,1.172,
4rrk1/n1qbbppp/3p4/pP1PpN2/2p1Pn2/2P2N1P/1PB2PP1/R1B1RQK1 b - - 0 20,210,0.84,
4rrk1/n1q1bppp/3p4/pb1PpN2/2p1Pn2/2P2N1P/1PB2PP1/R1B1RQK1 w - - 0 21,289,1.156,
4rrk1/n1q1bppp/3p4/pb1PpN2/2p1PB2/2P2N1P/1PB2PP1/R3RQK1 b - - 0 21,237,0.948,
4rrk1/n1q1bppp/3p4/pb1P1N2/2p1Pp2/2P2N1P/1PB2PP1/R3RQK1 w - - 0 22,276,1.104,
4rrk1/n1q1bppp/3p4/pb1P1N2/B1p1Pp2/2P2N1P/1P3PP1/R3RQK1 b - - 1 22,248,0.992,
1r3rk1/n1q1bppp/3p4/pb1P1N2/B1p1Pp2/2P2N1P/1P3PP1/R3RQK1 w - - 2 23,296,1.184,
1r3rk1/n1q1bppp/3p4/pB1P1N2/2p1Pp2/2P2N1P/1P3PP1/R3RQK1 b - - 0 23,263,1.052,
5rk1/n1q1bppp/3p4/pr1P1N2/2p1Pp2/2P2N1P/1P3PP1/R3RQK1 w - - 0 24,291,1.164,
5rk1/n1q1Nppp/3p4/pr1P4/2p1Pp2/2P2N1P/1P3PP1/R3RQK1 b - - 0 24,244,0.976,
5rk1/n3qppp/3p4/pr1P4/2p1Pp2/2P2N1P/1P3PP1/R3RQK1 w - - 0 25,300,1.2,
5rk1/n3qppp/3p4/pr1P4/2Q1Pp2/2P2N1P/1P3PP1/R3R1K1 b - - 0 25,242,0.968,
1r4k1/n3qppp/3p4/pr1P4/2Q1Pp2/2P2N1P/1P3PP1/R3R1K1 w - - 1 26,489,1.956,
1r4k1/n3qppp/3p4/pr1PP3/2Q2p2/2P2N1P/1P3PP1/R3R1K1 b - - 0 26,469,1.876,
1r4k1/n3qppp/3p4/p2PP3/2Q2p2/2P2N1P/1r3PP1/R3R1K1 w - - 0 27,523,2.092,
1r4k1/n3qppp/3p4/p2PP3/5Q2/2P2N1P/1r3PP1/R3R1K1 b - - 0 27,517,2.068,
1r4k1/4qppp/3p4/pn1PP3/5Q2/2P2N1P/1r3PP1/R3R1K1 w - - 1 28,517,2.068,
1r4k1/4qppp/3p4/pn1PP3/2P2Q2/5N1P/1r3PP1/R3R1K1 b - - 0 28,531,2.124,
1r4k1/4qppp/3p4/pn1PP3/1rP2Q2/5N1P/5PP1/R3R1K1 w - - 1 29,583,2.332,
1r4k1/4qppp/3p4/Rn1PP3/1rP2Q2/5N1P/5PP1/4R1K1 b - - 0 29,544,2.176,
1r4k1/2q2ppp/3p4/Rn1PP3/1rP2Q2/5N1P/5PP1/4R1K1 w - - 1 30,1137,4.548,
1r4k1/2q2ppp/3p4/1R1PP3/1rP2Q2/5N1P/5PP1/4R1K1 b - - 0 30,1110,4.44,
6k1/2q2ppp/3p4/1r1PP3/1rP2Q2/5N1P/5PP1/4R1K1 w - - 0 31,1301,5.204,
6k1/2q2ppp/3P4/1r1P4/1rP2Q2/5N1P/5PP1/4R1K1 b - - 0 31,1060,4.24,
3q2k1/5ppp/3P4/1r1P4/1rP2Q2/5N1P/5PP1/4R1K1 w - - 1 32,1312,5.248,
3q2k1/3P1ppp/8/1r1P4/1rP2Q2/5N1P/5PP1/4R1K1 b - - 0 32,1277,5.108,
r1bqkb1r/pp2pppp/2p2n2/8/3P4/5NP1/PPP2P1P/R1BQKB1R b KQkq - 0 7,41,0.164,
r2qkb1r/pp2pppp/2p2n2/8/3P2b1/5NP1/PPP2P1P/R1BQKB1R w KQkq - 1 8,59,0.236,
r2qkb1r/pp2pppp/2p2n2/8/3P2b1/5NP1/PPP2PBP/R1BQK2R b KQkq - 2 8,21,0.084,
r2qkb1r/pp3ppp/2p1pn2/8/3P2b1/5NP1/PPP2PBP/R1BQK2R w KQkq - 0 9,84,0.336,
r2qkb1r/pp3ppp/2p1pn2/8/3P2b1/5NP1/PPP2PBP/R1BQ1RK1 b kq - 1 9,25,0.1,
r2qk2r/pp3ppp/2pbpn2/8/3P2b1/5NP1/PPP2PBP/R1BQ1RK1 w kq - 2 10,79,0.316,
r2qk2r/pp3ppp/2pbpn2/8/3P2b1/1P3NP1/P1P2PBP/R1BQ1RK1 b kq - 0 10,29,0.116,
r2q1rk1/pp3ppp/2pbpn2/8/3P2b1/1P3NP1/P1P2PBP/R1BQ1RK1 w - - 1 11,97,0.388,
r2q1rk1/pp3ppp/2pbpn2/8/3P2b1/1P3NP1/PBP2PBP/R2Q1RK1 b - - 2 11,0,0,
