FEN,Evaluation,eval,
r3kb1r/1b3ppp/pq2p3/1p6/P5n1/3B1N2/1PP2PPP/R1BQR1K1 w kq - 3 15,44,0.176,
r3kb1r/1b3ppp/pq2p3/1p6/P5n1/3B1N2/1PP1QPPP/R1B1R1K1 b kq - 4 15,-20,-0.08,
r3k2r/1b3ppp/pq2p3/1pb5/P5n1/3B1N2/1PP1QPPP/R1B1R1K1 w kq - 5 16,23,0.092,
r3k2r/1b3ppp/pq2p3/1pb5/P5n1/3B1N2/1PP1QPPP/R1B2RK1 b kq - 6 16,-38,-0.152,
r3k2r/1b3ppp/pq2p3/2b5/Pp4n1/3B1N2/1PP1QPPP/R1B2RK1 w kq - 0 17,0,0,
r3k2r/1b3ppp/pq2p3/2b5/Pp4n1/3B1N1P/1PP1QPP1/R1B2RK1 b kq - 0 17,-25,-0.1,
r3k2r/1b3ppp/pq2pn2/2b5/Pp6/3B1N1P/1PP1QPP1/R1B2RK1 w kq - 1 18,0,0,
r3k2r/1b3ppp/pq2pn2/2b3B1/Pp6/3B1N1P/1PP1QPP1/R4RK1 b kq - 2 18,-56,-0.224,
r3k2r/1b3ppp/pq2p3/2b3Bn/Pp6/3B1N1P/1PP1QPP1/R4RK1 w kq - 3 19,0,0,
r3k2r/1b3ppp/pq2p3/2b4n/Pp6/3BBN1P/1PP1QPP1/R4RK1 b kq - 4 19,-23,-0.092,
r3k2r/1b3ppp/pq2p3/7n/Pp6/3BbN1P/1PP1QPP1/R4RK1 w kq - 0 20,-6,-0.024,
r3k2r/1b3ppp/pq2p3/7n/Pp6/3BQN1P/1PP2PP1/R4RK1 b kq - 0 20,-49,-0.196,
r3k2r/1b3ppp/p3p3/7n/Pp6/3BqN1P/1PP2PP1/R4RK1 w kq - 0 21,0,0,
r3k2r/1b3ppp/p3p3/7n/Pp6/3BPN1P/1PP3P1/R4RK1 b kq - 0 21,-36,-0.144,
r3k2r/1b3ppp/p3p3/8/Pp6/3BPNnP/1PP3P1/R4RK1 w kq - 1 22,0,0,
r3k2r/1b3ppp/p3p3/8/Pp6/3BPNnP/1PP3P1/R3R1K1 b kq - 2 22,-33,-0.132,
r3k2r/1b3ppp/p3p3/8/Pp2n3/3BPN1P/1PP3P1/R3R1K1 w kq - 3 23,-18,-0.072,
r3k2r/1b3ppp/p3p3/4N3/Pp2n3/3BP2P/1PP3P1/R3R1K1 b kq - 4 23,-43,-0.172,
r3k2r/1b3ppp/p3p3/2n1N3/Pp6/3BP2P/1PP3P1/R3R1K1 w kq - 5 24,0,0,
r3k2r/1b3ppp/p3p3/2n1N3/PpB5/4P2P/1PP3P1/R3R1K1 b kq - 6 24,-37,-0.148,
r6r/1b2kppp/p3p3/2n1N3/PpB5/4P2P/1PP3P1/R3R1K1 w - - 7 25,-11,-0.044,
r6r/1b2kppp/p3p3/P1n1N3/1pB5/4P2P/1PP3P1/R3R1K1 b - - 0 25,-46,-0.184,
r2r4/1b2kppp/p3p3/P1n1N3/1pB5/4P2P/1PP3P1/R3R1K1 w - - 1 26,0,0,
r2r4/1b2kppp/p3p3/P1n1N3/1pB5/4P2P/1PP3P1/R2R2K1 b - - 2 26,-56,-0.224,
2rr4/1b2kppp/p3p3/P1n1N3/1pB5/4P2P/1PP3P1/R2R2K1 w - - 3 27,33,0.132,
2rr4/1b2kppp/p3p3/P1n1N3/1pB5/1P2P2P/2P3P1/R2R2K1 b - - 0 27,-53,-0.212,
3r4/1br1kppp/p3p3/P1n1N3/1pB5/1P2P2P/2P3P1/R2R2K1 w - - 1 28,34,0.136,
3R4/1br1kppp/p3p3/P1n1N3/1pB5/1P2P2P/2P3P1/R5K1 b - - 0 28,0,0,
3k4/1br2ppp/p3p3/P1n1N3/1pB5/1P2P2P/2P3P1/R5K1 w - - 0 29,47,0.188,
3k4/1br2ppp/p3p3/P1n5/1pB5/1P1NP2P/2P3P1/R5K1 b - - 1 29,-10,-0.04,
3k4/1br2ppp/p3p3/P7/1pB5/1P1nP2P/2P3P1/R5K1 w - - 0 30,80,0.32,
3k4/1br2ppp/p3p3/P7/1p6/1P1BP2P/2P3P1/R5K1 b - - 0 30,35,0.14,
3k4/1b3ppp/p3p3/P1r5/1p6/1P1BP2P/2P3P1/R5K1 w - - 1 31,66,0.264,
3k4/1b3ppp/p3p3/P1r5/Rp6/1P1BP2P/2P3P1/6K1 b - - 2 31,32,0.128,
